OperatorID,SampleID,YYYYMMDDHHMM,Top_Bottom,Replicate,Temp_C,Light,Tissue_Area_cm2,VolSol_mL,Fluorescence_Reading,Trial 
SaPo,3025,202410101300,top,b,15,light,4,12,207.39,2
SaPo,3026,202410101300,bottom,c,15,light,4,12,564.2,2
LiKa,3027,202410101300,top,c,15,light,4,4,820.62,2
SaPo,3028,202410101400,bottom,a,15,light,4,,,2
SaPo,3029,202410101400,top,a,15,light,4,,,2
LiKa,3030,202410100900,bottom,a,20,light,4,12,906.97,2
LiKa,3031,202410100900,top,a,20,light,4,2,276.58,2
LiKa,3032,202410101010,bottom,a,20,light,4,2,491.98,2
LiKa,3033,202410101010,top,a,20,light,4,2,278.85,2
LiKa,3034,202410101100,bottom,a,20,light,4,2,181.19,2
LiKa,3035,202410101100,top,a,20,light,4,4,220.03,2
LiKa,3036,202410101200,bottom,a,20,light,4,4,140.18,2
LiKa,3037,202410101200,top,a,20,light,4,4,190.25,2
LiKa,3038,202410101300,bottom,a,20,light,4,4,1372.59,2
LiKa,3039,202410101300,top,a,20,light,4,4,79.44,2
SaPo,3040,202410101300,bottom,b,20,light,4,12,283.62,2
LiKa,3041,202410101300,top,b,20,light,4,4,310.72,2
SaPo,3042,202410101300,bottom,c,20,light,4,12,317.35,2
LiKa,3043,202410101300,top,c,20,light,4,4,498.86,2
SaPo,3044,202410101400,bottom,a,20,light,4,,,2
SaPo,3045,202410101400,top,a,20,light,4,,,2
